ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,21.3,8532
Package Name,net.sourceforge.pmd.lang.java.ast,508
Package Name,net.sourceforge.pmd,501
Package Name,net.sourceforge.pmd.lang.java.rule.errorprone,387
Package Name,net.sourceforge.pmd.cpd,373
Package Name,net.sourceforge.pmd.lang.java.rule.bestpractices,347
Type Name,XmlParserTest,129
Type Name,JspDocStyleTest,88
Type Name,RuleSetFactoryTest,80
Type Name,ClassTypeResolverTest,80
Type Name,VfDocStyleTest,72
Code Smell,Magic Number,2127
Code Smell,Unutilized Abstraction,2119
Code Smell,Long Statement,1467
Code Smell,Unnecessary Abstraction,567
Code Smell,Broken Hierarchy,421
Method Name,visit,403
Method Name,testLineNumbers,70
Method Name,binaryNumericPromotion,49
Method Name,hashCode,48
Method Name,testComparator,38
