ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,23.6,8567
Package Name,net.sourceforge.pmd.lang.java.ast,603
Package Name,(default package),443
Package Name,net.sourceforge.pmd,402
Package Name,net.sourceforge.pmd.cpd,385
Package Name,net.sourceforge.pmd.lang.document,318
Type Name,CharsTest,82
Type Name,RuleSetFactoryTest,79
Type Name,ConstantExpressionsTests,77
Type Name,LatticeRelationTest,77
Type Name,VfDocStyleTest,72
Code Smell,Unutilized Abstraction,2140
Code Smell,Magic Number,1701
Code Smell,Long Statement,1609
Code Smell,Unnecessary Abstraction,675
Code Smell,Cyclic-Dependent Modularization,655
Method Name,visit,252
Method Name,testComparator,38
Method Name,main,36
Method Name,determineBom,36
Method Name,testInitialSetFilter,32
