ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,21.9,8698
Package Name,net.sourceforge.pmd.lang.java.ast,513
Package Name,net.sourceforge.pmd,503
Package Name,net.sourceforge.pmd.lang.java.rule.errorprone,396
Package Name,net.sourceforge.pmd.lang.java.rule.bestpractices,391
Package Name,net.sourceforge.pmd.cpd,379
Type Name,XmlParserTest,129
Type Name,JspDocStyleTest,88
Type Name,RuleSetFactoryTest,80
Type Name,ClassTypeResolverTest,80
Type Name,VfDocStyleTest,72
Code Smell,Magic Number,2171
Code Smell,Unutilized Abstraction,2155
Code Smell,Long Statement,1498
Code Smell,Unnecessary Abstraction,574
Code Smell,Broken Hierarchy,420
Method Name,visit,422
Method Name,testLineNumbers,70
Method Name,binaryNumericPromotion,49
Method Name,hashCode,48
Method Name,testComparator,38
