ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,20.9,8261
Package Name,net.sourceforge.pmd.lang.java.ast,529
Package Name,net.sourceforge.pmd,482
Package Name,net.sourceforge.pmd.lang.java.rule.errorprone,388
Package Name,net.sourceforge.pmd.cpd,348
Package Name,net.sourceforge.pmd.lang.java.rule.bestpractices,341
Type Name,XmlParserTest,129
Type Name,JspDocStyleTest,88
Type Name,ClassTypeResolverTest,79
Type Name,RuleSetFactoryTest,77
Type Name,VfDocStyleTest,72
Code Smell,Magic Number,2076
Code Smell,Unutilized Abstraction,2049
Code Smell,Long Statement,1402
Code Smell,Unnecessary Abstraction,548
Code Smell,Broken Hierarchy,412
Method Name,visit,403
Method Name,testLineNumbers,70
Method Name,binaryNumericPromotion,49
Method Name,hashCode,48
Method Name,testComparator,38
