ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,22.12,8397
Package Name,net.sourceforge.pmd.lang.java.ast,593
Package Name,net.sourceforge.pmd,442
Package Name,(default package),406
Package Name,net.sourceforge.pmd.cpd,386
Package Name,net.sourceforge.pmd.lang.document,307
Type Name,CharsTest,82
Type Name,RuleSetFactoryTest,80
Type Name,ConstantExpressionsTests,77
Type Name,LatticeRelationTest,77
Type Name,VfDocStyleTest,72
Code Smell,Unutilized Abstraction,2118
Code Smell,Magic Number,1679
Code Smell,Long Statement,1515
Code Smell,Unnecessary Abstraction,660
Code Smell,Cyclic-Dependent Modularization,644
Method Name,visit,255
Method Name,testComparator,38
Method Name,determineBom,36
Method Name,main,33
Method Name,testInitialSetFilter,32
