ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,18.12,6332
Package Name,net.sourceforge.pmd.cpd,472
Package Name,net.sourceforge.pmd,460
Package Name,net.sourceforge.pmd.lang.java.ast,407
Package Name,net.sourceforge.pmd.lang.apex.ast,244
Package Name,net.sourceforge.pmd.properties,244
Type Name,XmlParserTest,136
Type Name,JspDocStyleTest,87
Type Name,ClassTypeResolverTest,83
Type Name,VfDocStyleTest,71
Type Name,RuleSetFactoryTest,59
Code Smell,Magic Number,1841
Code Smell,Unutilized Abstraction,1299
Code Smell,Long Statement,1294
Code Smell,Broken Hierarchy,330
Code Smell,Complex Conditional,244
Method Name,visit,379
Method Name,testLineNumbers,71
Method Name,binaryNumericPromotion,49
Method Name,hashCode,46
Method Name,testComparator,38
