ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,20.6,8252
Package Name,net.sourceforge.pmd.cpd,533
Package Name,net.sourceforge.pmd.lang.java.ast,533
Package Name,net.sourceforge.pmd,474
Package Name,net.sourceforge.pmd.lang.java.rule.errorprone,400
Package Name,net.sourceforge.pmd.lang.apex.ast,329
Type Name,XmlParserTest,129
Type Name,JspDocStyleTest,88
Type Name,ClassTypeResolverTest,79
Type Name,RuleSetFactoryTest,77
Type Name,VfDocStyleTest,72
Code Smell,Magic Number,2173
Code Smell,Unutilized Abstraction,1990
Code Smell,Long Statement,1412
Code Smell,Unnecessary Abstraction,520
Code Smell,Broken Hierarchy,410
Method Name,visit,408
Method Name,testLineNumbers,70
Method Name,binaryNumericPromotion,49
Method Name,hashCode,48
Method Name,testComparator,38
