ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,21.12,8777
Package Name,net.sourceforge.pmd.lang.java.ast,514
Package Name,net.sourceforge.pmd,503
Package Name,net.sourceforge.pmd.lang.java.rule.bestpractices,399
Package Name,net.sourceforge.pmd.lang.java.rule.errorprone,395
Package Name,net.sourceforge.pmd.cpd,384
Type Name,XmlParserTest,129
Type Name,JspDocStyleTest,88
Type Name,RuleSetFactoryTest,80
Type Name,ClassTypeResolverTest,80
Type Name,VfDocStyleTest,72
Code Smell,Magic Number,2179
Code Smell,Unutilized Abstraction,2165
Code Smell,Long Statement,1526
Code Smell,Unnecessary Abstraction,576
Code Smell,Broken Hierarchy,428
Method Name,visit,409
Method Name,testLineNumbers,70
Method Name,binaryNumericPromotion,49
Method Name,hashCode,48
Method Name,testComparator,38
