ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,19.3,7376
Package Name,net.sourceforge.pmd.cpd,470
Package Name,net.sourceforge.pmd,429
Package Name,net.sourceforge.pmd.lang.java.ast,405
Package Name,net.sourceforge.pmd.lang.java.rule.errorprone,388
Package Name,net.sourceforge.pmd.properties,308
Type Name,XmlParserTest,136
Type Name,JspDocStyleTest,87
Type Name,ClassTypeResolverTest,83
Type Name,VfDocStyleTest,71
Type Name,RuleSetFactoryTest,59
Code Smell,Magic Number,1936
Code Smell,Unutilized Abstraction,1710
Code Smell,Long Statement,1403
Code Smell,Unnecessary Abstraction,482
Code Smell,Broken Hierarchy,328
Method Name,visit,403
Method Name,testLineNumbers,71
Method Name,binaryNumericPromotion,49
Method Name,hashCode,48
Method Name,testComparator,38
