ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,23.9,8336
Package Name,net.sourceforge.pmd.lang.java.ast,603
Package Name,(default package),443
Package Name,net.sourceforge.pmd,408
Package Name,net.sourceforge.pmd.lang.document,319
Package Name,net.sourceforge.pmd.lang.java.rule.errorprone,293
Type Name,CharsTest,82
Type Name,RuleSetFactoryTest,78
Type Name,ConstantExpressionsTests,77
Type Name,LatticeRelationTest,77
Type Name,VfDocStyleTest,72
Code Smell,Unutilized Abstraction,2066
Code Smell,Magic Number,1700
Code Smell,Long Statement,1562
Code Smell,Unnecessary Abstraction,677
Code Smell,Cyclic-Dependent Modularization,664
Method Name,visit,252
Method Name,testComparator,38
Method Name,main,36
Method Name,determineBom,36
Method Name,testInitialSetFilter,32
