ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,19.9,7392
Package Name,net.sourceforge.pmd.cpd,502
Package Name,net.sourceforge.pmd.lang.java.ast,435
Package Name,net.sourceforge.pmd,432
Package Name,net.sourceforge.pmd.lang.java.rule.errorprone,392
Package Name,net.sourceforge.pmd.properties,308
Type Name,XmlParserTest,136
Type Name,JspDocStyleTest,87
Type Name,ClassTypeResolverTest,83
Type Name,VfDocStyleTest,71
Type Name,RuleSetFactoryTest,59
Code Smell,Magic Number,1976
Code Smell,Unutilized Abstraction,1742
Code Smell,Long Statement,1336
Code Smell,Unnecessary Abstraction,498
Code Smell,Broken Hierarchy,338
Method Name,visit,404
Method Name,testLineNumbers,71
Method Name,binaryNumericPromotion,49
Method Name,hashCode,48
Method Name,testComparator,38
